trace_id,tool_name,latency_ms,success,error_type,call_time
c6e6f2baf2cf4ac6,search,9.57,1,,2026-07-16 01:52:51
7c026fd678cd49bd,op,4.04,1,,2026-07-16 01:53:00
7fcd9f79f75a4803,op,4.01,1,,2026-07-16 01:53:00
f91890f8374d49e6,op,3.85,1,,2026-07-16 01:52:52
a98beb2909974c9f,op,3.48,1,,2026-07-16 01:53:02
ff21b47f7ce249a8,op,3.47,1,,2026-07-16 01:53:00
c8459223014d41d3,op,2.86,0,ToolError,2026-07-16 01:53:05
d1eb8e4edbad4abd,calc,2.57,1,,2026-07-16 01:52:52
53608747070b4591,search,1.76,1,,2026-07-16 01:53:03
b40de2d7e0e14198,op,1.74,0,ToolError,2026-07-16 01:19:28
43630d50c53744d1,op,1.57,1,,2026-07-16 01:53:04
19c150f801bb4bbe,op,1.57,0,ToolError,2026-07-16 01:53:04
ae57eaf30f75406a,op,1.53,1,,2026-07-16 01:53:03
ff09a86d7c0a4e35,op,0.84,0,ValueError,2026-07-15 09:06:56
ac00945002034cbf,search,0.69,1,,2026-07-16 01:19:37
cce91863f7e848b5,op,0.68,1,,2026-07-15 01:21:26
23244206f6974afa,op,0.62,0,ToolError,2026-07-15 01:02:10
8993e110b2b043f0,op,0.6,0,ToolError,2026-07-15 01:21:18
dc4667e6ce5e42f7,op,0.52,1,,2026-07-15 11:01:10
2143d3c59be84efe,op,0.5,1,,2026-07-15 09:06:58
